feature,base_value,low_value,high_value,pred_low,pred_high,impact,pct_change
relative_humidity_percent,75.0,60.0,90.0,29.12993288681585,8.879823859903896,-20.250109026911957,213.96859844437208
temperature_celsius,20.0,16.0,24.0,9.47066754918092,5.810289551775275,-3.6603779974056447,38.67662879447412
electrical_resistance,100.0,80.0,120.0,6.452874457455553,10.006328904540004,3.5534544470844507,37.54684316356629
oxygen_supply,6.0,4.800000000000001,7.199999999999999,10.114911659594856,7.796868303574245,-2.3180433560206115,24.493126795606923
wc_ratio,0.45,0.36000000000000004,0.54,10.312352648773226,9.302923923546933,-1.009428725226293,10.665920330558137
chloride_concentration_percent,0.3,0.24,0.36,9.991552402614557,9.173688165746038,-0.8178642368685196,8.641793693454465
diffusion_coefficient,5e-07,4e-07,6e-07,9.590483612362762,9.418700949767624,-0.1717826625951382,1.8151060571415258
co2_concentration_percent,0.04,0.032,0.048,9.509207723159395,9.382406017205277,-0.12680170595411866,1.3398240605668281
cover_depth_mm,40.0,32.0,48.0,9.422449328364474,9.485655683962682,0.06320635559820786,0.6678569138641076
